epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3463679954981042;0.878823;0.48551751242230323;0.8277620905826424;0.48968293910417715;0.8909664;0.64404434;0.9797542;0.23402114;0.87895715;0.47304504443713075;0.8259531602968974;0.3066227831117564;0.46788990825688076;0.89175934;0.6402439;0.9788227;0.24082568
1;0.3252935336811261;0.8788911;0.5030310313823819;0.8326624040983583;0.5007549068948163;0.8920414;0.6376812;0.9783362;0.24358329;0.877095;0.4927878707525406;0.8307308989245046;0.30388993479908066;0.481651376146789;0.8930921;0.6098901;0.97451544;0.25458714
2;0.31821977370886456;0.8806621;0.5188706133708222;0.8386891904675173;0.5083039758429794;0.88637006;0.7255278;0.98873484;0.19023654;0.8777157;0.5009028227517618;0.8340029110164189;0.30591118908276255;0.505720823798627;0.88680464;0.6615385;0.98420674;0.19724771
0;0.34895947575569153;0.87487227;0.4832114458553875;0.8239003340525453;0.4791352438411262;0.88167053;0.6637555;0.9878683;0.15299447;0.8739913;0.4777246078645616;0.8244075060755942;0.3112684488296509;0.475;0.88239074;0.6363636;0.9856425;0.16055046
1;0.3263416886329651;0.8802534;0.5038108887743247;0.8346424438858886;0.4964788732394366;0.8899586;0.6737481;0.98306286;0.22345243;0.87802607;0.48639316873792693;0.8268752016965562;0.3101821541786194;0.48394495412844035;0.8901206;0.63870966;0.9798995;0.22706422
2;0.3202974796295166;0.8816838;0.5200354659767028;0.8421716499931134;0.5120724346076458;0.89157313;0.68115944;0.982669;0.23653749;0.8808194;0.5005969186434698;0.8351052444397612;0.30586811900138855;0.4977168949771689;0.8929974;0.6566265;0.9795406;0.25
3;0.3157782554626465;0.8838635;0.5284691494481665;0.8461141265714143;0.5108094519859225;0.8955439;0.67848104;0.97999054;0.2697534;0.8786468;0.5038445048266307;0.8395746754743574;0.3008073568344116;0.5022935779816514;0.89430356;0.6216216;0.9748744;0.26376146
4;0.3160872161388397;0.8830461;0.5316064978320519;0.8466295494528837;0.5168595873175642;0.8918958;0.6997042;0.9840082;0.2380473;0.88019866;0.5166506688421989;0.8418501419285154;0.29684746265411377;0.4863013698630137;0.8919007;0.65625;0.98025846;0.24082568
5;0.31095364689826965;0.88583887;0.545468053487759;0.8523347441368738;0.5188726723704077;0.895137;0.7104195;0.98314166;0.2642174;0.8823712;0.5253512005473371;0.8386616898384451;0.2977460026741028;0.5137614678899083;0.89446086;0.6666667;0.9795406;0.2614679
6;0.3069291114807129;0.88720113;0.5538664190192352;0.8551750709214431;0.528169014084507;0.8981388;0.7020757;0.98077834;0.28938097;0.8836127;0.5296421209107791;0.8413850049724376;0.29372844099998474;0.49770642201834864;0.8993044;0.6502463;0.97451544;0.3027523
7;0.30546098947525024;0.88502145;0.5531950997794792;0.8594880430058657;0.5299446401610468;0.8940848;0.70850766;0.9835355;0.25566182;0.8851645;0.5317909731892847;0.8482270461086561;0.2911500334739685;0.5045871559633027;0.89684623;0.6853933;0.9798995;0.2798165
8;0.3060053288936615;0.8867925;0.5608581832471399;0.862950005348298;0.534439416792358;0.901631;0.6715945;0.9755002;0.32008052;0.8808194;0.5273279568413876;0.8501419285154475;0.28951337933540344;0.5068181818181818;0.8992686;0.6214953;0.97092605;0.30504587
9;0.3053969144821167;0.88781416;0.5694294011674693;0.8657629761243895;0.5349773527931555;0.8941697;0.75449103;0.9870805;0.25364873;0.8842334;0.5357333663910102;0.8488416031665537;0.2911636233329773;0.5045871559633027;0.89363784;0.7006369;0.9831299;0.2522936
10;0.30028700828552246;0.88869965;0.5748199403156344;0.8685425646408603;0.5415198792148969;0.89658636;0.73948437;0.9848747;0.27428284;0.88547486;0.538406110574004;0.8495401318519203;0.2885480523109436;0.5045871559633027;0.89635944;0.6936416;0.9809763;0.27522936
11;0.30120283365249634;0.88897216;0.5767773404499983;0.871679149067965;0.5470558631102164;0.90652555;0.666356;0.9717977;0.35983896;0.8857852;0.5419724512333253;0.8526092125107845;0.2868040204048157;0.5217391304347826;0.9070707;0.63492066;0.9669778;0.36697248
12;0.29858481884002686;0.8903344;0.579161437969664;0.8707269617409966;0.5420231504781077;0.89773214;0.7523427;0.9854262;0.28283846;0.88485414;0.5444993568370233;0.8521243175247142;0.2893441617488861;0.5091743119266054;0.89629143;0.6857143;0.98025846;0.27522936
13;0.2985493540763855;0.8916286;0.585761507580876;0.8747114833149361;0.5445395067941621;0.90057003;0.7408759;0.9832204;0.3064922;0.88547486;0.5454828121060238;0.8563031408681678;0.2842949330806732;0.5102974828375286;0.89792556;0.68108106;0.9788227;0.28899083
14;0.2964068055152893;0.89135617;0.5872466307768551;0.8725617371588716;0.5475591343734273;0.8996183;0.7468514;0.9841657;0.29843986;0.8879578;0.5556497282172499;0.853686025145386;0.2847399115562439;0.5229357798165137;0.8981938;0.7118644;0.98169416;0.28899083
15;0.2986173927783966;0.8914924;0.5924329212449327;0.878112410041352;0.5515853044791142;0.9037608;0.71092075;0.9787301;0.33417213;0.8895096;0.555327323667367;0.8565525859968255;0.28267818689346313;0.5045871559633027;0.9031188;0.6923077;0.977028;0.33027524
16;0.2958252727985382;0.89094746;0.5958780746480253;0.8793747312470399;0.5616507297433316;0.89854133;0.7526178;0.98511106;0.28938097;0.88919926;0.5608001605406902;0.8600225900142915;0.2819656729698181;0.5137614678899083;0.8985888;0.72571427;0.982771;0.2912844
17;0.29355543851852417;0.8910156;0.5926239442083205;0.8771572690583959;0.5510820332159033;0.8999279;0.73859435;0.9832992;0.3014595;0.88640594;0.5533937944090155;0.8574384043414978;0.2828023135662079;0.5102974828375286;0.8990765;0.68421054;0.97846377;0.29816514
18;0.2920781075954437;0.89265037;0.6033408813065644;0.8809558688906597;0.5632530120481928;0.91050065;0.6804214;0.97132504;0.39003524;0.8882682;0.5601076946185677;0.8592861917714392;0.2814083397388458;0.5137614678899083;0.9084175;0.6507937;0.9684135;0.3761468
19;0.28947699069976807;0.89394456;0.6018708661021802;0.8802481411988703;0.5651736285858078;0.9054831;0.7267932;0.9795967;0.3467539;0.88857853;0.55367716272027;0.8581044146025014;0.2836361229419708;0.5022935779816514;0.9043652;0.67420816;0.9741565;0.3417431
20;0.2879713475704193;0.8946257;0.6067198801501977;0.8821178847319299;0.5628772635814889;0.9039061;0.7494331;0.9825902;0.3326623;0.88982;0.5570306080751062;0.8579883361762942;0.283791184425354;0.5114155251141552;0.90288365;0.69756097;0.9777459;0.32798165
21;0.29096460342407227;0.8919011;0.6109649380203555;0.8855372272060816;0.5674044265593562;0.89693373;0.78985506;0.9885773;0.27428284;0.8879578;0.5572175810821095;0.8607758649077629;0.28099295496940613;0.5045871559633027;0.89637136;0.73006135;0.98420674;0.27293578
22;0.2908509373664856;0.8941489;0.6051487863389349;0.8838926156935157;0.5621540010065426;0.9070447;0.71715146;0.97778475;0.35983896;0.8867163;0.5527109830349627;0.8593170636933026;0.2821975648403168;0.518348623853211;0.90471417;0.65367967;0.971285;0.34633029
